gene_symbol	loeuf_v4	xgb_diff	xgb_percentile	cis_percentile	xgb_pred	cis_original	articles_found	is_ndd	has_gencc_support	is_embryonic_lethal_mouse	is_fertility_mouse	testis_pct	blood_pct	ovary_pct	testis_specific	ovary_specific	fetal_median_expr	fetal_high_expr	gtex_median_expr
TLE3	0.2143	77.9	98.6	20.7	0.27	0.0	44	False	False	False	False	91.4	98.2	89.2	False	False	43.51	False	18.02
KAT7	0.2466	77.9	98.6	20.7	0.27	0.0	28	False	False	False	False	91.5	89.7	87.9	False	False	25.63	False	12.26
CELF3	0.5637	77.8	98.5	20.7	0.26	0.0	14	False	False	False	False	73.4	65.0	51.9	False	False	2.87	False	0.13
SPPL3	0.2547	77.8	98.4	20.7	0.26	0.0	17	False	False	True	False	95.2	92.1	94.2	True	False	0.04	False	25.72
CYRIB	0.4891	77.6	98.3	20.7	0.26	0.0	5	False	False	False	False	85.0	98.4	80.8	False	False	178.68	True	12.71
WAPL	0.098	77.5	98.2	20.7	0.25	0.0	50	False	False	True	False	91.5	91.1	87.5	False	False	0.01	False	16.45
EIF4A1	0.2607	77.5	98.2	20.7	0.25	0.0	44	False	False	False	False	99.4	99.3	99.6	False	False	108.63	False	237.72
PHYHIP	0.6247	77.3	98.0	20.7	0.24	0.0	8	False	False	False	False	87.9	66.2	81.5	False	False	1.1	False	17.75
SIPA1L1	0.2176	77.3	98.0	20.7	0.24	0.0	9	False	False	False	False	87.1	91.5	79.4	False	False	255.8	True	11.37
PAPOLA	0.1785	77.3	98.0	20.7	0.24	0.0	9	False	False	True	False	95.7	95.3	96.6	False	False	136.64	True	41.34
NWD2	0.709	77.3	97.9	20.7	0.24	0.0	5	False	False	False	False	39.8	27.9	23.1	False	False	4.17	False	0.04
RPS2	0.7226	77.2	97.8	20.7	0.24	0.0	50	False	False	True	False	99.8	99.9	99.9	False	False	0.0	False	1026.84
ZNF384	0.2757	77.1	97.8	20.7	0.24	0.0	50	False	False	False	False	91.9	92.4	94.0	False	False	20.8	False	28.14
NAV1	0.1802	77.0	97.7	20.7	0.24	0.0	50	False	False	False	False	72.6	69.9	74.7	False	False	139.56	True	6.22
HSPA5	0.501	77.0	97.6	20.7	0.23	0.0	50	False	False	True	False	99.5	99.0	99.4	False	False	124.39	False	167.06
RNF165	0.5359	76.9	97.5	20.7	0.23	0.0	2	False	False	False	False	47.2	70.7	51.0	False	False		False	0.73
KPNB1	0.1368	76.9	97.5	20.7	0.23	0.0	27	False	False	False	False	97.7	97.3	96.9	False	False	223.18	True	50.58
PSMD1	0.2061	76.8	97.5	20.7	0.23	0.0	21	False	False	False	False	96.3	94.3	93.9	True	False	113.71	False	53.01
LMO3	0.5526	76.8	97.5	20.7	0.23	0.0	33	False	False	False	False	49.9	59.2	72.8	False	False	5.78	False	8.29
CAND1	0.1383	76.8	97.4	20.7	0.23	0.0	47	False	False	True	False	88.2	84.4	91.0	False	False	93.19	False	17.67
CCAR1	0.6859	76.8	97.4	20.7	0.23	0.0	12	False	False	False	False	92.0	87.0	95.2	False	True	0.0	False	33.17
NCOA1	0.3043	76.7	97.4	20.7	0.23	0.0	50	False	False	False	False	91.8	94.4	94.5	False	False	0.14	False	25.16
PSME4	0.4465	76.7	97.3	20.7	0.23	0.0	6	False	False	False	True	96.3	92.0	88.8	True	False	122.16	False	20.73
EIF3D	0.2388	76.6	97.3	20.7	0.22	0.0	22	False	False	False	False	98.0	98.4	99.3	False	False	66.83	False	135.6
SSBP3	0.228	76.6	97.3	20.7	0.22	0.0	15	False	False	False	False	94.9	91.8	98.6	False	True	298.11	True	38.54
DDX5	0.1615	76.5	97.2	20.7	0.22	0.0	50	False	False	False	False	99.5	99.1	99.6	False	False	132.03	False	321.27
RAB1B	0.7231	76.5	97.2	20.7	0.22	0.0	36	False	False	False	False	98.9	99.3	99.0	False	False	15.24	False	169.8
MBNL2	0.5492	76.5	97.1	20.7	0.22	0.0	50	False	False	False	False	84.7	82.3	96.6	False	True	0.0	False	38.45
TMCC1	0.5239	76.5	97.1	20.7	0.22	0.0	15	False	False	False	False	85.6	87.7	83.6	False	False	285.44	True	8.72
ZNF609	0.15	76.4	97.1	20.7	0.22	0.0	3	False	False	False	False	89.7	85.0	91.4	False	False	429.27	True	12.09
ZFP36L1	2.2776	76.4	97.0	20.7	0.22	0.0	39	False	False	False	False	95.4	99.1	99.7	False	False	520.29	True	161.32
MAML2	0.3402	76.2	96.9	20.7	0.21	0.0	50	False	False	False	False	66.4	84.2	82.9	False	False	647.94	True	8.56
GABPA	0.2204	76.2	96.9	20.7	0.21	0.0	50	False	False	False	False	84.7	85.5	89.9	False	False	31.62	False	13.34
U2SURP	0.1114	76.2	96.9	20.7	0.21	0.0	2	False	False	True	False	92.1	87.6	96.1	False	True	134.31	False	28.73
KAT2A	0.5437	76.2	96.8	20.7	0.21	0.0	50	False	False	False	False	98.4	93.4	99.4	True	True	27.58	False	92.16
WDR33	0.3167	76.2	96.8	20.7	0.21	0.0	11	False	False	True	False	88.2	89.3	90.2	False	False	7.02	False	15.84
TUBA1C	0.9431	76.2	96.8	20.7	0.21	0.0	23	False	False	False	False	78.6	89.0	85.1	False	False	50.58	False	13.91
TNPO1	0.1397	76.1	96.8	20.7	0.21	0.0	23	False	False	False	False	88.1	89.6	90.5	False	False	159.17	True	18.18
