gene_symbol	loeuf_v4	xgb_diff	xgb_percentile	cis_percentile	xgb_pred	cis_original	articles_found	is_ndd	has_gencc_support	is_embryonic_lethal_mouse	is_fertility_mouse	testis_pct	blood_pct	ovary_pct	testis_specific	ovary_specific	fetal_median_expr	fetal_high_expr	gtex_median_expr
AQR	0.4317	55.0	96.9	41.8	0.21	0.0	28	False	False	False	False	82.8	85.2	85.4	False	False	73.31	False	9.87
UBE2I	0.2106	54.8	96.4	41.6	0.2	0.0	33	False	False	True	False	92.5	94.4	97.2	False	True	1.3	False	38.96
ELAVL1	0.123	54.5	98.8	44.3	0.28	0.0	50	False	False	True	False	93.4	89.7	92.7	False	False	67.41	False	24.46
MTA2	0.3252	53.3	97.9	44.6	0.24	0.0	28	False	False	False	False	96.0	96.9	97.0	False	False	26.6	False	53.12
NPEPPS	0.2603	53.2	98.7	45.5	0.28	0.0	10	False	False	False	False	92.5	95.5	96.5	False	False	151.25	True	46.18
SF3B3	0.3447	52.4	98.2	45.8	0.25	0.0	18	False	False	True	False	88.5	90.2	94.7	False	False	71.87	False	23.85
CELF1	0.2726	50.2	99.7	49.5	0.41	0.0	50	False	False	True	True	91.5	94.6	93.9	False	False	258.53	True	34.25
CSNK1G3	0.5623	49.4	95.6	46.2	0.19	0.0	5	False	False	False	False	81.8	83.4	86.6	False	False	71.03	False	11.23
USP22	0.4308	48.0	95.1	47.1	0.18	0.0	48	False	False	True	False	94.2	93.7	98.1	False	True	147.89	True	61.17
MAFG	0.6757	47.4	98.0	50.6	0.24	0.0	50	False	False	True	False	91.0	94.4	91.1	False	False	16.64	False	23.37
PLK2	0.4563	47.1	96.2	49.1	0.2	0.0	50	False	False	True	False	96.1	78.0	93.9	True	False	0.84	False	29.24
PRPF4B	0.2347	47.0	95.7	48.7	0.19	0.0	5	False	False	False	False	89.0	89.8	95.8	False	True		False	34.09
RBMS3	0.5371	47.0	95.5	48.5	0.19	0.0	28	False	False	False	False	60.5	58.5	82.7	False	False	0.0	False	2.79
PPP2CB	0.7572	46.9	95.5	48.7	0.19	0.0	16	False	False	False	False	96.1	89.6	98.7	True	True	102.78	False	85.06
PIAS1	0.1628	46.6	95.6	49.0	0.19	0.0	50	False	False	False	False	86.9	94.5	89.5	False	False	211.91	True	15.24
DDX42	0.2973	46.4	96.5	50.0	0.2	0.0	9	False	False	True	False	97.3	94.2	98.2	True	True	57.06	False	71.43
FRY	0.4483	46.1	98.1	51.9	0.25	0.01	50	False	False	False	False	68.7	85.2	78.0	False	False	102.28	False	7.98
MTA1	0.1558	46.1	99.3	53.2	0.33	0.01	50	False	False	False	False	97.4	91.8	98.0	True	True	40.41	False	49.88
PLXNA4	0.2551	45.9	98.2	52.3	0.25	0.01	32	False	False	False	False	60.6	64.6	78.4	False	False	83.45	False	2.06
HNRNPUL1	0.172	45.0	95.2	50.3	0.18	0.0	15	False	False	False	False	97.6	97.8	98.4	False	False	209.18	True	69.54
AP2A1	0.2387	44.9	95.8	50.9	0.19	0.01	16	False	False	False	False	99.0	97.4	97.8	False	False	56.88	False	61.36
POU2F1	0.2716	44.7	95.3	50.6	0.18	0.0	46	False	False	False	False	76.3	83.1	81.7	False	False	201.75	True	5.66
SLC7A1	0.2699	44.6	95.7	51.1	0.19	0.01	36	False	False	False	False	83.2	80.5	78.1	False	False	97.11	False	12.41
KCNV1	0.2556	43.3	95.6	52.4	0.19	0.01	5	False	False	False	False	30.8	27.9	23.1	False	False	0.24	False	0.01
KIF3A	0.3891	43.2	95.1	51.9	0.18	0.01	50	False	False	False	False	87.2	71.9	82.1	False	False	41.85	False	6.23
NFATC4	0.3999	42.9	97.4	54.5	0.23	0.01	50	False	False	False	False	93.5	64.9	98.6	False	True	9.98	False	18.68
TENM2	0.3364	42.4	95.1	52.6	0.18	0.01	18	False	False	False	False	65.6	56.2	58.5	False	False	86.21	False	0.61
POLR2B	0.5621	42.4	98.6	56.2	0.27	0.01	10	False	False	True	False	95.8	94.1	95.7	True	True	53.86	False	49.85
SETDB1	0.3719	42.1	97.7	55.6	0.24	0.01	50	False	False	True	False	92.4	91.9	91.7	False	False	59.93	False	17.6
HECW1	0.4008	42.1	95.5	53.4	0.19	0.01	9	False	False	False	False	58.3	55.9	57.0	False	False	14.37	False	0.1
PROX1	0.2197	42.1	98.7	56.6	0.28	0.01	50	False	False	False	False	72.6	57.1	81.3	False	False	55.55	False	2.02
VSNL1	0.7697	42.0	96.9	54.9	0.22	0.01	24	False	False	False	False	47.2	62.1	74.2	False	False	34.97	False	0.83
TLN2	0.4502	41.7	97.0	55.4	0.22	0.01	20	False	False	False	False	78.1	67.8	78.9	False	False	169.24	True	7.39
CDK12	0.1966	41.2	97.9	56.7	0.24	0.01	50	False	False	True	False	87.6	89.7	87.0	False	False	116.99	False	11.51
TRIM24	0.332	41.0	95.6	54.6	0.19	0.01	50	False	False	False	False	86.9	80.9	86.3	False	False	0.0	False	5.37
ROCK1	0.2543	40.6	98.4	57.8	0.26	0.01	50	False	False	True	False	80.0	91.2	88.9	False	False	0.0	False	13.41
IRF1	0.4593	40.5	96.4	55.9	0.2	0.01	50	False	False	False	False	81.1	98.6	84.7	False	False	20.48	False	12.27
HSPA8	0.1249	40.5	99.8	59.3	0.43	0.01	50	False	False	False	False	99.8	99.3	99.6	False	False	43.93	False	343.93
PRRC2C	0.2932	40.2	98.7	58.5	0.28	0.01	4	False	False	True	False	93.5	93.2	96.0	False	True	281.15	True	40.68
PSMC2	0.2866	40.2	96.0	55.9	0.2	0.01	16	False	False	True	False	94.7	92.9	94.3	False	False	43.31	False	46.38
MARK3	0.6961	39.9	96.3	56.4	0.2	0.01	34	False	False	False	False	95.4	96.8	95.8	False	False	271.8	True	38.53
DLX1	0.5489	39.7	97.6	57.8	0.23	0.01	50	False	False	False	False	34.3	27.9	55.3	False	False	0.35	False	0.2
CHD9	0.311	39.6	99.3	59.7	0.33	0.02	20	False	False	False	False	74.4	78.3	85.2	False	False	336.34	True	9.55
RBM25	0.2359	39.4	98.0	58.6	0.25	0.01	21	False	False	True	False	94.1	90.8	96.7	False	True	156.31	True	47.15
TLE1	0.3327	39.3	97.5	58.2	0.23	0.01	50	False	False	False	False	91.1	86.5	93.1	False	False	77.53	False	25.27
RACK1	0.1847	39.3	97.8	58.5	0.24	0.01	50	False	False	False	False	99.0	99.6	99.8	False	False	413.71	True	371.4
RBM5	0.1942	38.8	97.2	58.4	0.22	0.01	41	False	False	False	False	97.8	97.7	99.0	False	False	148.62	True	76.74
ZNF532	0.2992	38.7	99.0	60.3	0.3	0.02	3	False	False	True	False	87.2	72.5	94.4	False	False	85.13	False	17.16
TNRC6C	0.2451	38.4	98.8	60.4	0.29	0.02	14	False	False	False	False	82.7	83.5	84.8	False	False	78.33	False	8.85
ST7	0.4757	37.9	96.6	58.6	0.21	0.01	50	False	False	False	False	77.8	81.2	85.6	False	False	116.43	False	9.21
HECTD2	0.4775	37.8	98.2	60.4	0.25	0.02	9	False	False	False	False	69.5	60.2	83.0	False	False	0.0	False	3.74
