Approved symbol	Approved name	Previous symbols	Alias symbols
EIF3KP2	eukaryotic translation initiation factor 3 subunit K pseudogene 2		
EIF3KP3	eukaryotic translation initiation factor 3 subunit K pseudogene 3		
EIF3L	eukaryotic translation initiation factor 3 subunit L	EIF3S6IP, EIF3EIP	HSPC021, HSPC025, EIF3S11
EIF3LP1	eukaryotic translation initiation factor 3 subunit L pseudogene 1	EIF3S6IPP, EIF3EIPP1	
EIF3LP2	eukaryotic translation initiation factor 3 subunit L pseudogene 2	EIF3S6IPP2, EIF3EIPP2	
EIF3LP3	eukaryotic translation initiation factor 3 subunit L pseudogene 3		
EIF3M	eukaryotic translation initiation factor 3 subunit M	PCID1	hfl-B5, FLJ29030, GA17, TANGO7
EIF3MP1	EIF3M pseudogene 1		
EIF4A1	eukaryotic translation initiation factor 4A1	EIF4A	DDX2A, EIF-4A
EIF4A1P1	eukaryotic translation initiation factor 4A1 pseudogene 1	EIF4A1P	
EIF4A1P2	eukaryotic translation initiation factor 4A1 pseudogene 2		
EIF4A1P3	eukaryotic translation initiation factor 4A1 pseudogene 3		
EIF4A1P4	eukaryotic translation initiation factor 4A1 pseudogene 4		
EIF4A1P5	eukaryotic translation initiation factor 4A1 pseudogene 5		
EIF4A1P6	eukaryotic translation initiation factor 4A1 pseudogene 6		
EIF4A1P7	eukaryotic translation initiation factor 4A1 pseudogene 7		
EIF4A1P8	eukaryotic translation initiation factor 4A1 pseudogene 8		
EIF4A1P9	eukaryotic translation initiation factor 4A1 pseudogene 9		
EIF4A1P10	eukaryotic translation initiation factor 4A1 pseudogene 10		
EIF4A1P11	eukaryotic translation initiation factor 4A1 pseudogene 11		
EIF4A1P12	eukaryotic translation initiation factor 4A1 pseudogene 12		
EIF4A1P13	eukaryotic translation initiation factor 4A1 pseudogene 13		
EIF4A2	eukaryotic translation initiation factor 4A2	EIF4F	DDX2B, EIF4A, BM-010
EIF4A2P1	eukaryotic translation initiation factor 4A2 pseudogene 1		
EIF4A2P2	eukaryotic translation initiation factor 4A2 pseudogene 2		
EIF4A2P3	eukaryotic translation initiation factor 4A2 pseudogene 3		
EIF4A2P4	eukaryotic translation initiation factor 4A2 pseudogene 4		
EIF4A2P5	eukaryotic translation initiation factor 4A2 pseudogene 5		
EIF4A3	eukaryotic translation initiation factor 4A3	DDX48	KIAA0111, EIF4AIII, Fal1
EIF4A3P1	eukaryotic translation initiation factor 4A3 pseudogene 1		
EIF4B	eukaryotic translation initiation factor 4B		
EIF4BP1	eukaryotic translation initiation factor 4B pseudogene 1	EIF4BP	
EIF4BP2	eukaryotic translation initiation factor 4B pseudogene 2		
EIF4BP3	eukaryotic translation initiation factor 4B pseudogene 3		
EIF4BP4	eukaryotic translation initiation factor 4B pseudogene 4		
EIF4BP5	eukaryotic translation initiation factor 4B pseudogene 5		
EIF4BP6	eukaryotic translation initiation factor 4B pseudogene 6		
EIF4BP7	eukaryotic translation initiation factor 4B pseudogene 7		
EIF4BP8	eukaryotic translation initiation factor 4B pseudogene 8		
EIF4BP9	eukaryotic translation initiation factor 4B pseudogene 9		
EIF4E	eukaryotic translation initiation factor 4E	EIF4EL1, EIF4F	EIF4E1
EIF4E1B	eukaryotic translation initiation factor 4E family member 1B		FLJ36951
EIF4E2	eukaryotic translation initiation factor 4E family member 2	EIF4EL3	IF4e, 4EHP
EIF4E2P1	eukaryotic translation initiation factor 4E family member 2 pseudogene 1	EIF4EL4	dJ1049G11.3
EIF4E2P2	eukaryotic translation initiation factor 4E family member 2 pseudogene 2		
EIF4E3	eukaryotic translation initiation factor 4E family member 3		MGC39820
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1		PHAS-I, 4E-BP1
EIF4EBP1P1	eukaryotic translation initiation factor 4E binding protein 1 pseudogene 1	EIF4EBP1P	
EIF4EBP1P2	eukaryotic translation initiation factor 4E binding protein 1 pseudogene 2		
EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2		
EIF4EBP2P1	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 1	EIF4EBP2P	dJ862K6.3
EIF4EBP2P2	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 2		
EIF4EBP2P3	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 3		
EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3		4E-BP3
EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1		4E-T, FLJ21601, Clast4, 2610509L04Rik
EIF4EP1	eukaryotic translation initiation factor 4E pseudogene 1	EIF4EL2	dJ1022P6.3
EIF4EP2	eukaryotic translation initiation factor 4E pseudogene 2		
EIF4EP3	eukaryotic translation initiation factor 4E pseudogene 3		
EIF4EP4	eukaryotic translation initiation factor 4E pseudogene 4		
EIF4EP5	eukaryotic translation initiation factor 4E pseudogene 5		
EIF4G1	eukaryotic translation initiation factor 4 gamma 1	EIF4G, EIF4F	p220, PARK18
EIF4G2	eukaryotic translation initiation factor 4 gamma 2		DAP5, NAT1, p97
EIF4G3	eukaryotic translation initiation factor 4 gamma 3		eIF4GII
EIF4H	eukaryotic translation initiation factor 4H	WBSCR1	WSCR1, KIAA0038
EIF4HP1	eukaryotic translation initiation factor 4H pseudogene 1		
EIF4HP2	eukaryotic translation initiation factor 4H pseudogene 2		
EIF5	eukaryotic translation initiation factor 5		
EIF5-DT	EIF5 divergent transcript		
EIF5A	eukaryotic translation initiation factor 5A		EIF5A1, EIF-5A, MGC99547, MGC104255
EIF5A2	eukaryotic translation initiation factor 5A2		
EIF5A2P1	eukaryotic translation initiation factor 5A2 pseudogene 1		
EIF5AL1	eukaryotic translation initiation factor 5A like 1	EIF5AP1	bA342M3.3
EIF5AP2	eukaryotic translation initiation factor 5A pseudogene 2		
EIF5AP3	eukaryotic translation initiation factor 5A pseudogene 3		
EIF5AP4	eukaryotic translation initiation factor 5A pseudogene 4	EIF5AL3	
EIF5B	eukaryotic translation initiation factor 5B		IF2, KIAA0741, DKFZp434I036, FLJ10524
EIF5P1	eukaryotic translation initiation factor 5 pseudogene 1		
EIF5P2	eukaryotic translation initiation factor 5 pseudogene 2		
EIF6	eukaryotic translation initiation factor 6	EIF3A, ITGB4BP	p27BBP, b(2)gcn
EIPR1	EARP complex and GARP complex interacting protein 1	TSSC1	EIPR-1
EIPR1-IT1	EIPR1 intronic transcript 1	TSSC1-IT1	
ELAC1	elaC ribonuclease Z 1		D29
ELAC2	elaC ribonuclease Z 2		FLJ10530, HPC2
ELANE	elastase, neutrophil expressed	ELA2	NE, HNE, HLE, PMN-E
ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	KIAA1324	maba1, EIG121
ELAPOR2	endosome-lysosome associated apoptosis and autophagy regulator family member 2	KIAA1324L	FLJ31340, EIG121L
ELAVL1	ELAV like RNA binding protein 1	HUR	HuR, Hua, MelG
ELAVL2	ELAV like RNA binding protein 2		HuB, HEL-N1
ELAVL3	ELAV like RNA binding protein 3		HUC, PLE21, DKFZp547J036, HUCL, MGC20653
ELAVL4	ELAV like RNA binding protein 4	HUD	PNEM
ELAVL4-AS1	ELAVL4 antisense RNA 1		
ELDR	EGFR long non-coding downstream RNA	LINC01156	Fabl
ELF1	E74 like ETS transcription factor 1		
ELF2	E74 like ETS transcription factor 2		EU32, NERF, NERF-2, NERF-1A, NERF-1B
ELF2-DT	ELF2 divergent transcript		
ELF2P1	ELF2 pseudogene 1		
ELF2P2	ELF2 pseudogene 2		
ELF2P3	ELF2 pseudogene 3		
ELF2P4	ELF2 pseudogene 4		
ELF3	E74 like ETS transcription factor 3	ESX	EPR-1, ESE-1, ERT
ELF3-AS1	ELF3 antisense RNA 1		ENST00000415582, SCAT7
ELF4	E74 like ETS transcription factor 4		MEF, ELFR
ELF5	E74 like ETS transcription factor 5		
ELFN1	extracellular leucine rich repeat and fibronectin type III domain containing 1	PPP1R28	
ELFN1-AS1	ELFN1 antisense RNA 1		MYCLo-2
ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	LRRC62, PPP1R29	dJ63G5.3, KIAA1904
ELFN2-AS1	ELFN2 antisense RNA 1		
ELK1	ETS transcription factor ELK1		
ELK1P1	ELK1 pseudogene 1		
ELK2AP	ETS transcription factor ELK2A, pseudogene	ELK2, ELK2P1	ELK2.1
ELK2BP	ETS transcription factor ELK2B, pseudogene	ELK2P2	ELK2.2
ELK3	ETS transcription factor ELK3		ERP, NET, SAP2
ELK4	ETS transcription factor ELK4		SAP1
ELL	elongation factor for RNA polymerase II	C19orf17	Men, ELL1, PPP1R68
ELL2	elongation factor for RNA polymerase II 2		MRCCAT1
ELL2P1	elongation factor for RNA polymerase II 2 pseudogene 1		
ELL2P2	elongation factor for RNA polymerase II 2 pseudogene 2		
ELL2P3	elongation factor for RNA polymerase II 2 pseudogene 3		
ELL2P4	elongation factor for RNA polymerase II 2 pseudogene 4		
ELL3	elongation factor for RNA polymerase II 3		FLJ22637
ELMO1	engulfment and cell motility 1		KIAA0281, CED12, ELMO-1, CED-12
ELMO1-AS1	ELMO1 antisense RNA 1		
ELMO2	engulfment and cell motility 2		CED12, ELMO-2, CED-12, KIAA1834, FLJ11656
ELMO2P1	engulfment and cell motility 2 pseudogene 1		
ELMO3	engulfment and cell motility 3		FLJ13824, CED12, ELMO-3, CED-12
ELMOD1	ELMO domain containing 1		DKFZp547C176
ELMOD2	ELMO domain containing 2		MGC10084
ELMOD3	ELMO domain containing 3	RBM29, RBED1, DFNB88	FLJ21977
ELN	elastin		WBS, WS, SVAS
ELN-AS1	ELN antisense RNA 1		CTB-51J22.1
ELOA	elongin A	TCEB3	SIII, TCEB3A, ELOA1
ELOA-AS1	ELOA antisense RNA 1	TCEB3-AS1	
ELOA2	elongin A2	TCEB3B	HsT832, TCEB3L
ELOA3BP	elongin A3 family member B, pseudogene	TCEB3CL, ELOA3B	HsT828
ELOA3CP	elongin A3 family member C, pseudogene	ELOA3C	
ELOA3DP	elongin A3 family member D, pseudogene	TCEB3CL2, ELOA3D	
ELOA3P	elongin A3, pseudogene	TCEB3C, ELOA3	HsT829, TCEB3L2, ELOA3A, ELOA3AP
ELOAP1	ELOA pseudogene 1		
ELOB	elongin B	TCEB2	SIII
ELOBP1	elongin B pseudogene 1	TCEB2P1	
ELOBP2	elongin B pseudogene 2	TCEB2P2	
ELOBP3	elongin B pseudogene 3	TCEB2P3	
ELOBP4	elongin B pseudogene 4	TCEB2P4	
ELOC	elongin C	TCEB1	SIII
ELOCP2	elongin C pseudogene 2	TCEB1P2	
ELOCP3	elongin C pseudogene 3	TCEB1P3	dJ254P11.1
ELOCP4	elongin C pseudogene 4	TCEB1P4	
ELOCP5	elongin C pseudogene 5	TCEB1P5	
ELOCP6	elongin C pseudogene 6	TCEB1P6	
ELOCP7	elongin C pseudogene 7	TCEB1P7	
ELOCP8	elongin C pseudogene 8	TCEB1P8	
ELOCP9	elongin C pseudogene 9	TCEB1P9	
ELOCP10	elongin C pseudogene 10	TCEB1P10	
ELOCP11	elongin C pseudogene 11	TCEB1P11	
ELOCP12	elongin C pseudogene 12	TCEB1P12	
ELOCP13	elongin C pseudogene 13	TCEB1P13	
ELOCP14	elongin C pseudogene 14	TCEB1P14	
ELOCP15	elongin C pseudogene 15	TCEB1P15	
ELOCP16	elongin C pseudogene 16	TCEB1P16	
ELOCP17	elongin C pseudogene 17	TCEB1P17	
ELOCP18	elongin C pseudogene 18	TCEB1P18	
ELOCP19	elongin C pseudogene 19	TCEB1P19	
ELOCP20	elongin C pseudogene 20	TCEB1P20	
ELOCP21	elongin C pseudogene 21	TCEB1P21	
ELOCP22	elongin C pseudogene 22	TCEB1P22	
ELOCP23	elongin C pseudogene 23	TCEB1P23	
ELOCP24	elongin C pseudogene 24	TCEB1P25, TCEB1P24	
ELOCP26	elongin C pseudogene 26	TCEB1P26	
ELOCP27	elongin C pseudogene 27	TCEB1P27	
ELOCP28	elongin C pseudogene 28	TCEB1P28	
ELOCP29	elongin C pseudogene 29	TCEB1P29	
ELOCP30	elongin C pseudogene 30	TCEB1P30	
ELOCP31	elongin C pseudogene 31	TCEB1P31	
ELOCP32	elongin C pseudogene 32	TCEB1P32	
ELOCP33	elongin C pseudogene 33	TCEB1P33	
ELOCP34	elongin C pseudogene 34	TCEB1P34	
ELOCP35	elongin C pseudogene 35	TCEB1P35	
ELOCP36	elongin C pseudogene 36		
ELOF1	elongation factor 1		MGC4549, ELF1
ELOVL1	ELOVL fatty acid elongase 1		Ssc1
ELOVL2	ELOVL fatty acid elongase 2		Ssc2
ELOVL2-AS1	ELOVL2 antisense RNA 1		
ELOVL3	ELOVL fatty acid elongase 3		CIG-30
ELOVL4	ELOVL fatty acid elongase 4	STGD2, STGD3, SCA34	CT118
ELOVL5	ELOVL fatty acid elongase 5	SCA38	HELO1, dJ483K16.1
ELOVL6	ELOVL fatty acid elongase 6		FLJ23378, MGC5487, LCE
ELOVL6-AS1	ELOVL6 antisense RNA 1		
ELOVL7	ELOVL fatty acid elongase 7		FLJ23563
ELP1	elongator acetyltransferase complex subunit 1	DYS, IKBKAP	IKAP, TOT1, IKI3
ELP2	elongator acetyltransferase complex subunit 2	STATIP1	FLJ10879, StIP
ELP3	elongator acetyltransferase complex subunit 3		FLJ10422, KAT9
ELP4	elongator acetyltransferase complex subunit 4	C11orf19	PAXNEB
ELP4-AS1	ELP4 antisense RNA 1		
ELP5	elongator acetyltransferase complex subunit 5	C17orf81	DERP6
ELP6	elongator acetyltransferase complex subunit 6	TMEM103, C3orf75	FLJ20211
ELSPBP1	epididymal sperm binding protein 1		HE12, E12, EDDM12
EMB	embigin		MGC71745, GP70
EMBP1	embigin pseudogene 1		
EMC1	ER membrane protein complex subunit 1	KIAA0090	
EMC1-AS1	EMC1 antisense RNA 1		
EMC2	ER membrane protein complex subunit 2	KIAA0103, TTC35	
EMC3	ER membrane protein complex subunit 3	TMEM111	
EMC3-AS1	EMC3 antisense RNA 1		
EMC4	ER membrane protein complex subunit 4	TMEM85	FLJ90746, MGC24415, PIG17
EMC6	ER membrane protein complex subunit 6	TMEM93	MGC2963, RAB5IFL
EMC7	ER membrane protein complex subunit 7	C15orf24	C11orf3
EMC8	ER membrane protein complex subunit 8	C16orf4, NOC4, C16orf2, COX4NB	FAM158B
EMC9	ER membrane protein complex subunit 9	C14orf122, FAM158A	CGI-112
EMC10	ER membrane protein complex subunit 10	C19orf63	INM02, HSS1, HSM1
EMCN	endomucin		MUC14
EMCN-AS1	EMCN antisense RNA 1		
EMD	emerin		STA, LEMD5
EME1	essential meiotic structure-specific endonuclease 1		FLJ31364, MMS4L, SLX2A
EME2	essential meiotic structure-specific endonuclease subunit 2		FLJ00151, SLX2B
EMG1	EMG1 N1-specific pseudouridine methyltransferase		C2F, NEP1, Grcc2f
EMICERI	EQTN MOB3B IFNK C9orf72 enhancer RNA I		TCONS_00015940
EMID1	EMI domain containing 1		EMU1, hEmu1, EMI5
EMILIN1	elastin microfibril interfacer 1		DKFZp586M121, gp115, EMILIN
EMILIN2	elastin microfibril interfacer 2		FLJ33200, FOAP-10
EMILIN3	elastin microfibril interfacer 3	C20orf130, EMILIN5	dJ620E11.4
EML1	EMAP like 1	EMAPL	EMAP, HuEMAP, ELP79
EML2	EMAP like 2		EMAP2, ELP70, EMAP-2
EML2-AS1	EML2 antisense RNA 1	C19orf83	
EML3	EMAP like 3		FLJ35827, ELP95
EML4	EMAP like 4	C2orf2	ROPP120, ELP120
EML4-AS1	EML4 antisense RNA 1		
EML5	EMAP like 5		HuEMAP-2, EMAP-2, FAP16
EML6	EMAP like 6		FLJ42562
EML6-AS1	EML6 antisense RNA 1		
EMP1	epithelial membrane protein 1		TMP, CL-20
EMP2	epithelial membrane protein 2		XMP
EMP2P1	EMP2 pseudogene 1		
EMP3	epithelial membrane protein 3 (MAM blood group)		YMP
EMSLR	E2F1 mRNA stabilizing lncRNA		EMS, BCCE4
EMSY	EMSY transcriptional repressor, BRCA2 interacting	C11orf30	
EMSY-DT	EMSY divergent transcript		
EMX1	empty spiracles homeobox 1		
EMX2	empty spiracles homeobox 2		
EMX2OS	EMX2 opposite strand/antisense RNA		NCRNA00045, EMX2-AS1
EN1	engrailed homeobox 1		
EN2	engrailed homeobox 2		
EN2-DT	EN2 divergent transcript		
ENAH	ENAH actin regulator		FLJ10773, NDPP1, MENA
ENAHP1	ENAH pseudogene 1		
ENAM	enamelin	AIH2	
ENAM-AS1	ENAM and JCHAIN antisense RNA 1		
ENC1	ectodermal-neural cortex 1	NRPB	PIG10, ENC-1, TP53I10, KLHL37
ENDOD1	endonuclease domain containing 1		KIAA0830
ENDOG	endonuclease G		
ENDOU	endonuclease, poly(U) specific		PP11, P11, PRSS26
ENDOV	endonuclease V		FLJ35220
ENEMAL	enhancer lncRNA neighbor of NEAT1 and MALAT1		
ENG	endoglin	ORW1, ORW	END, HHT1, CD105
ENGASE	endo-beta-N-acetylglucosaminidase		FLJ21865
ENHO	energy homeostasis associated	C9orf165	UNQ470
ENHO-AS1	ENHO antisense RNA 1		
ENKD1	enkurin domain containing 1	C16orf48	DKFZP434A1319, FBB11
ENKUR	enkurin, TRPC channel interacting protein	C10orf63	MGC26778, enkurin, CFAP106
ENO1	enolase 1	ENO1L1, MPB1, ENO1-IT1	PPH, MBP-1
ENO1-AS1	ENO1 antisense RNA 1		
ENO1P1	enolase 1 pseudogene 1	ENO1P	
ENO1P2	enolase 1 pseudogene 2		
ENO1P3	enolase 1 pseudogene 3		
ENO1P4	enolase 1 pseudogene 4		
ENO2	enolase 2		NSE
ENO3	enolase 3		
ENO4	enolase 4	C10orf134	AC023283.3
ENOPH1	enolase-phosphatase 1		MASA, E1, mtnC
ENOPH1P1	ENOPH1 pseudogene 1		
ENOSF1	enolase superfamily member 1		HSRTSBETA, rTS, TYMSAS, FUCD
ENOX1	ecto-NOX disulfide-thiol exchanger 1		FLJ10094, PIG38, CNOX, cCNOX
ENOX1-AS1	ENOX1 antisense RNA 1		
ENOX1-AS2	ENOX1 antisense RNA 2		
ENOX2	ecto-NOX disulfide-thiol exchanger 2	COVA1	APK1, tNOX
ENOX2-AS1	ENOX2 antisense RNA 1		
ENPEP	glutamyl aminopeptidase		gp160, CD249
ENPEPP1	ENPEP pseudogene 1		
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	NPPS, M6S1, PDNP1	PC-1, PCA1
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	PDNP2	ATX, PD-IALPHA
ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	PDNP3	PD-IBETA, gp130RB13-6, B10, CD203c
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4		NPP4, KIAA0879, AP3Aase
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5		
ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6		MGC33971
ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7		alk-SMase, NPP7
ENPP7P1	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 1		
ENPP7P2	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2		
ENPP7P3	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 3		
ENPP7P4	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 4		
ENPP7P5	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 5		
ENPP7P6	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 6		
ENPP7P7	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 7		
ENPP7P8	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 8		
ENPP7P9	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 9		
ENPP7P10	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 10		
ENPP7P11	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 11		
ENPP7P12	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 12		
ENPP7P13	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 13		DUNQU1
ENPP7P14	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 14		
ENPP7P15	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 15		
ENSA	endosulfine alpha		MGC4319, MGC8394, MGC78563, ARPP-19e
ENSAP1	endosulfine alpha pseudogene 1	ENSAP	dJ822J19.1
ENSAP2	endosulfine alpha pseudogene 2		
ENSAP3	endosulfine alpha pseudogene 3		
ENTHD1	ENTH domain containing 1		FLJ25421
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	CD39	NTPDase-1, ATPDase, SPG64
ENTPD1-AS1	ENTPD1 antisense RNA 1		
ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	CD39L1	NTPDase-2
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	CD39L3	NTPDase-3, HB6
ENTPD3-AS1	ENTPD3, EIF1B and MYRIP antisense RNA 1	EIF1B-AS1	FLJ36665
ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	LYSAL1	LALP70, LAP70, KIAA0392, NTPDase-4, UDPase
ENTPD4-DT	ENTPD4 divergent transcript		
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	CD39L4, PCPH	NTPDase-5
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6	CD39L2, IL6ST2	NTPDase-6, dJ738P15.3
ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7		LALP1, FLJ30978
ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8		UNQ2492, NTPDase-8
ENTR1	endosome associated trafficking regulator 1	SDCCAG3	NY-CO-3
ENTR1P1	ENTR1 pseudogene 1	SDCCAG3L, SDCCAG3P1	
ENTR1P2	ENTR1 pseudogene 2	SDCCAG3P2	
ENTREP1	endosomal transmembrane epsin interactor 1	C9orf61, FAM189A2	X123, ENTREP
ENTREP2	endosomal transmembrane epsin interactor 2	FAM189A1	KIAA0574, TMEM228
ENTREP3	endosomal transmembrane epsin interactor 3	C1orf2, FAM189B	cote1
ENY2	ENY2 transcription and export complex 2 subunit		DC6, FLJ20480, Sus1
EOGT	EGF domain specific O-linked N-acetylglucosamine transferase	C3orf64	AER61, FLJ33770
EOGT-DT	EOGT divergent transcript		
EOLA1	endothelium and lymphocyte associated ASCH domain 1	CXorf40, CXorf40A	
EOLA1-DT	EOLA1 divergent transcript	LINC00893	lnc-CPLC
EOLA2	endothelium and lymphocyte associated ASCH domain 2	CXorf40B	
EOLA2-DT	EOLA2 divergent transcript	LINC00894	
EOMES	eomesodermin		TBR2
EP300	EP300 lysine acetyltransferase		p300, KAT3B
EP300-AS1	EP300 antisense RNA 1		
EP400	E1A binding protein p400	TNRC12	CAGH32, KIAA1498, P400, KIAA1818, DKFZP434I225
EP400P1	EP400 pseudogene 1	EP400NL	FLJ33915
EPAS1	endothelial PAS domain protein 1		MOP2, PASD2, HIF2A, HLF, bHLHe73
EPB41	erythrocyte membrane protein band 4.1	EL1	4.1R
EPB41L1	erythrocyte membrane protein band 4.1 like 1		KIAA0338, 4.1N
EPB41L1-AS1	EPB41L1 antisense RNA 1		AL121895.1
EPB41L2	erythrocyte membrane protein band 4.1 like 2		4.1-G, 4.1G
EPB41L3	erythrocyte membrane protein band 4.1 like 3		DAL1, KIAA0987, 4.1B
EPB41L3-AS1	EPB41L3 antisense RNA 1		
EPB41L4A	erythrocyte membrane protein band 4.1 like 4A		NBL4
EPB41L4A-AS1	EPB41L4A antisense RNA 1	C5orf26, NCRNA00219	EAS1, TIGA1
EPB41L4A-DT	EPB41L4A divergent transcript	EPB41L4A-AS2	FLJ11235
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B		EHM2, LULU2
EPB41L5	erythrocyte membrane protein band 4.1 like 5		KIAA1548, FLJ12957, BE37, YMO1, YRT, LULU, LULU1
EPB42	erythrocyte membrane protein band 4.2		PA, MGC116735, MGC116737
EPC1	enhancer of polycomb 1		Epl1
EPC1-AS1	EPC1 antisense RNA 1		
EPC1-AS2	EPC1 antisense RNA 2		
EPC2	enhancer of polycomb 2		DKFZP566F2124
EPCAM	epithelial cell adhesion molecule	M4S1, MIC18, TACSTD1	Ly74, TROP1, GA733-2, EGP34, EGP40, EGP-2, KSA, CD326, Ep-CAM, HEA125, KS1/4, MK-1, MH99, MOC31, MOC-31, 323/A3, 17-1A, TACST-1, CO-17A, ESA, BerEp4, Ber-Ep4
EPCAM-DT	EPCAM divergent transcript		
EPCART	ERG-positive prostate cancer associated androgen responsive transcript		TPCAT-2-180961, PRCAT122, PCAT-2-180961
EPCIP	exosomal polycystin 1 interacting protein	C21orf120, C21orf62	B37, PRED81, CU062
EPCIP-AS1	EPCIP antisense RNA 1	C21orf49, C21orf62-AS1	
EPDR1	ependymin related 1		MERP-1, MERP1, UCC1, EPDR
EPG5	ectopic P-granules 5 autophagy tethering factor	KIAA1632	hEPG5
EPGN	epithelial mitogen		EPG, PRO9904, ALGV3072
EPHA1	EPH receptor A1	EPHT, EPHT1	EPH
EPHA1-AS1	EPHA1 antisense RNA 1		
EPHA2	EPH receptor A2	ECK	
EPHA2-AS1	EPHA2 antisense RNA 1		
EPHA3	EPH receptor A3	ETK, ETK1, TYRO4	HEK, HEK4
EPHA4	EPH receptor A4	TYRO1	Hek8
EPHA5	EPH receptor A5		Hek7, TYRO4, CEK7, EHK1
EPHA5-AS1	EPHA5 antisense RNA 1		
EPHA5-AS2	EPHA5 antisense RNA 2		
EPHA6	EPH receptor A6		FLJ35246
EPHA7	EPH receptor A7		Hek11
EPHA8	EPH receptor A8	EEK	Hek3
EPHA10	EPH receptor A10		FLJ16103, FLJ33655
EPHB1	EPH receptor B1	EPHT2	Hek6
EPHB2	EPH receptor B2	DRT, ERK, EPHT3	Hek5, Tyro5
EPHB3	EPH receptor B3	ETK2	Hek2, Tyro6
EPHB4	EPH receptor B4	HTK	Tyro11
EPHB6	EPH receptor B6		HEP
EPHX1	epoxide hydrolase 1	EPHX	
EPHX2	epoxide hydrolase 2		ABHD20, sEH
EPHX3	epoxide hydrolase 3	ABHD9	FLJ22408
EPHX4	epoxide hydrolase 4	ABHD7	EPHXRP, FLJ90341, EH4
EPIC1	epigenetically induced MYC interacting lncRNA 1		Lnc-EPIC1
EPIST	esophagus epithelial intergenic associated transcript	C5orf66-AS1	XLH-36, CTC-276P9.1, Epist
EPM2A	EPM2A glucan phosphatase, laforin		LDE, LD
EPM2A-DT	EPM2A divergent transcript	FBXO30-DT	
EPM2AIP1	EPM2A interacting protein 1		KIAA0766, FLJ11207
EPN1	epsin 1		
EPN2	epsin 2		KIAA1065, EHB21
EPN2-AS1	EPN2 antisense RNA 1		
EPN2-IT1	EPN2 intronic transcript 1		
EPN3	epsin 3		FLJ20778, MGC129899
EPO	erythropoietin		EP
EPOP	elongin BC and polycomb repressive complex 2 associated protein	C17orf96	LOC100170841, PRR28
EPOR	erythropoietin receptor		EPO-R
EPPIN	epididymal peptidase inhibitor	SPINLW1	EPPIN1, EPPIN2, EPPIN3, dJ461P17.2, WAP7, WFDC7, CT71
EPPIN-WFDC6	EPPIN-WFDC6 readthrough	SPINLW1-WFDC6	
EPPK1	epiplakin 1		EPIPL1
EPRS1	glutamyl-prolyl-tRNA synthetase 1	QPRS, QARS, EPRS	EARS, PARS, GLUPRORS
EPS8	EGFR pathway substrate 8, signaling adaptor		
EPS8L1	EPS8 signaling adaptor L1		FLJ20258, DRC3, MGC23164, MGC4642
EPS8L2	EPS8 signaling adaptor L2		FLJ21935, FLJ22171, MGC3088
EPS8L3	EPS8 signaling adaptor L3		FLJ21522, MGC16817
EPS15	epidermal growth factor receptor pathway substrate 15		AF-1P, MLLT5
EPS15-AS1	EPS15 antisense RNA 1		
