gene_symbol	disease_count	diseases
SOHLH1	3	hypogonadism; ovarian dysgenesis 5; spermatogenic failure 32
SOHLH2	1	inherited primary ovarian failure
SPAG17	3	male infertility with azoospermia or oligozoospermia due to single gene mutation; non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 55
SPATA16	2	male infertility due to globozoospermia; spermatogenic failure 6
SPATA22	2	genetic infertility; infertility disorder
SPATA3	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
SPIDR	3	46 XX gonadal dysgenesis; male infertility with azoospermia or oligozoospermia due to single gene mutation; ovarian dysgenesis 9
SPINK2	1	spermatogenic failure 29
SSX1	1	spermatogenic failure, X-linked, 5
STAG3	2	premature ovarian failure 8; spermatogenic failure 61
STK33	1	spermatogenic failure 93
STRA8	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
STX2	1	spermatogenic failure
SUN5	1	spermatogenic failure 16
SYCE1	3	male infertility with azoospermia or oligozoospermia due to single gene mutation; premature ovarian failure 12; spermatogenic failure 15
SYCP2	1	spermatogenic failure 1
SYCP2L	1	premature ovarian failure 24
SYCP3	2	infertility disorder; spermatogenic failure 4
TAC3	2	hypogonadotropic hypogonadism; hypogonadotropic hypogonadism 10 with or without anosmia
TAF4B	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure 13
TBCCD1	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
TCEANC	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
TDRD9	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure 30
TEKT3	1	spermatogenic failure 81
TERB2	1	spermatogenic failure 59
TEX11	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure, X-linked, 2
TEX14	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
TEX15	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure 25
TSGA10	1	spermatogenic failure 26
TTC21A	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 37
TTC29	2	non-syndromic male infertility due to sperm motility disorder; spermatogenic failure 42
TTLL9	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
USP26	1	spermatogenic failure, X-linked, 6
ZMYND15	2	male infertility with azoospermia or oligozoospermia due to single gene mutation; spermatogenic failure 14
ZNF541	1	male infertility with azoospermia or oligozoospermia due to single gene mutation
ZP1	1	female infertility due to zona pellucida defect
ZPBP	1	spermatogenic failure 66
